Week,AAPL,ABT,ACN,ADBE,AMGN,AMZN,BAC,BMY,CMCSA,COST,CSCO,CVX,DIS,GE,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,MA,MCD,MDT,META,MMM,MRK,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,T,TMUS,TSLA,TXN,UNH,UPS,V,VZ,WMT,XOM,Rf
3/15/2021,0.000497803,0.007958682,0.006444482,0.026891019,0.007487066,0.006033692,-0.03287105,0.007379891,0.007696663,0.072326361,0.035041002,0.009124226,-0.027927892,-0.030188552,0.005501389,0.049512772,-0.00530172,0.023143138,-0.026831961,0.009347632,-0.032350073,0.037235311,0.020455463,-0.023542372,0.00583231,-0.018934513,0.000430797,0.010995181,-0.006880514,0.007021535,0.032616491,-0.003823418,-0.101487868,-0.014718188,0.028318652,0.053572968,-0.002795762,0.037140656,-0.019036749,-0.002508921,0.002332538,-0.011448229,-0.019551112,0.023686565,0.028610561,0.019038587,-0.057509553,0.019001875,0.035070218,-0.011089654,5.77E-07
3/22/2021,0.019984942,-0.000924061,0.036223727,0.071731096,0.011857985,0.037665855,0.04859267,0.002229791,-0.027531115,0.024830882,0.029103015,0.006471913,0.011021226,0.03346275,0.047882739,0.035567489,0.013652495,0.001202484,0.040793505,0.005309576,0.007604091,0.009419396,0.027288073,0.013785267,0.004504662,0.018906562,0.071464648,-0.002071655,0.013408844,0.043083518,0.031586025,0.07270413,0.030239739,0.101832854,0.046335617,0.011816937,0.017661938,0.005993194,0.082573632,0.018910078,0.012965621,0.033770598,0.033354652,0.076026689,-0.010832891,0.049188467,0.042746644,0.016033482,0.012014266,0.02153794,2.88E-06
3/29/2021,0.059837477,0.00706235,0.021843615,0.03413746,-0.009190701,0.043751934,0.005317846,-0.008534894,-0.00767116,0.017693108,-0.001346493,-0.025815858,-0.00873144,0.012801523,0.056649135,0.021705827,0.014114401,0.014185933,0.038729713,0.000859829,0.009173339,0.011616683,0.00484256,0.039746584,0.022379311,0.020813828,0.048081176,0.015671945,-0.020754954,0.044976239,0.026263617,0.028104324,0.008676773,0.036581165,0.048322009,0.008918128,-0.009366672,0.022192708,0.018506662,0.033461417,-0.015425308,0.019271341,0.033320769,0.016349173,-0.005939026,0.010159089,0.01770732,-0.012007085,0.030157864,-0.024220311,1.54E-06
4/5/2021,0.031758293,0.034730475,0.002566607,0.046834995,0.033417118,0.02418393,-0.02418136,0.040865788,0.00106969,0.020984585,0.001930379,0.003883017,-0.007420595,0.00743497,0.015472444,0.026428977,0.04539244,-0.01879823,-0.030276267,-0.015831308,-0.013240281,0.003953478,0.020446434,0.024378803,0.004473341,0.043099893,-0.016612203,0.008992556,0.015498605,0.02467892,0.031121426,-0.009665055,-7.46E-05,0.127139137,0.044483577,-0.00161337,0.045606513,-0.00014545,-0.017813854,0.032024034,0.014243344,0.010452681,0.080506022,-0.01039952,0.068842516,0.038261235,0.025283333,0.012513562,0.00322079,0.017500138,9.62E-07
4/12/2021,-0.019033429,0.000108576,0.020719207,-0.030501656,-0.000313521,-0.020730448,-0.009809352,0.029174469,0.004802281,0.006670273,-0.002711152,-0.023883375,-0.017049296,-0.010332092,-0.014322282,-0.003966268,-0.002523356,0.065620716,-0.037680589,0.029864756,-0.031543486,0.020813832,0.002535094,-0.008098579,0.007264132,0.031784015,-0.036709695,0.017318203,0.016958056,-0.008978626,-0.023197731,-0.073631649,-0.033590285,-0.079753343,-0.043683607,0.026421062,0.027659066,-0.019017909,-0.035330889,-0.006343287,0.054117528,0.001977652,-0.025932217,-0.038152969,0.01674322,-0.011856977,0.005700827,-0.00727914,-0.003496016,-0.030010582,1.92E-06
4/19/2021,0.011671745,-0.020161896,0.00820217,0.017347115,-0.079749223,0.049038454,0.071689788,-0.051719102,0.036764677,0.006141221,-0.000776395,0.05894026,0.014062008,-0.014914294,0.062259208,0.012069956,-0.023379502,0.020951352,-0.068563154,-0.005932755,0.053063659,-0.003306334,0.002216868,0.014581703,0.00965807,0.012706946,0.111257145,-0.009208854,-0.054900001,-0.018120313,-0.014045104,0.000432409,0.031583989,0.031952198,0.01335663,-0.014582115,-0.001034807,-0.009449798,0.073023801,-0.011128342,-0.000637797,0.017308104,-0.059317188,0.000107359,0.012634112,0.147653514,0.040822457,0.000698506,-0.000286394,0.066401058,2.88E-06
4/26/2021,-0.028018866,-0.018345794,-0.004717336,-0.062934837,0.07068315,-0.047515255,0.021892203,0.024964288,0.010283731,0.026877589,0.019043681,0.019831454,-0.01910104,0,-0.023157323,0.037622184,0.021259344,0.028979755,-0.018702859,0.021559027,0.035440559,0.005160365,0.024400228,-0.034631754,-0.001488024,-0.031939389,-0.028800245,0.016880277,0.055646011,-0.011009326,-0.041569451,-0.018565839,0.001725824,-0.052317313,0.051007934,0.011254647,0.015285026,0.019847761,-0.046817894,0.00095962,0.034141416,0.036340895,-0.019881886,-0.008341092,0.033420759,0.054290162,-0.023389214,0.034368442,0.010169634,0.044282341,1.54E-06
5/3/2021,-0.036765899,-0.011280438,-0.020057527,-0.019540502,0.003064126,-0.043824468,-0.004046347,0.008997929,0.007195431,-0.008438754,0.000953699,-0.021463878,-0.018977877,-0.018168129,-0.04633885,-0.03602064,-0.021779108,-0.028635031,-0.04978744,0.013234875,0.005040787,-0.000550192,0.005229482,-0.041174226,-0.021672539,-0.024430438,-0.046122082,0.004940547,0.01169963,-0.026829147,-0.018646121,-0.025803192,0.000898855,-0.059061532,-0.020065313,0.005564785,0.033302718,0.019091385,-0.06536755,-0.037040222,-0.006170609,-0.00547251,-0.138424154,-0.023292367,-0.015447013,0.00414379,-0.03276844,-0.008095874,-0.016073171,-0.036555517,1.54E-06
5/10/2021,0.020454826,0.002980147,-0.004801657,0.036928483,-0.000555533,0.027268967,0.000716848,0.030135287,-0.040947829,0.010671202,0.006858164,-0.029246241,-0.039138771,0.006939368,0.034952301,-0.029254665,-0.002714288,0.009139151,0.035919273,0.006530898,-0.004148742,0.002568469,0.00060427,0.021332384,0.010488774,0.02021106,0.043733153,-0.008652589,0.012327039,0.014195725,0.02285538,0.030842908,-0.002544499,0.069318359,0.00742286,0.005875573,0.000498547,0.002032967,0.043505584,0.012338398,-0.07978883,-0.014190598,0.026395417,0.035253395,0.000195957,-0.008021556,0.013537384,-0.034347832,0.030237179,0.006697725,1.54E-06
5/17/2021,-0.015945385,-0.017911813,-0.013734655,0.013443946,-0.059403329,-0.005410074,0.016240826,-0.019253742,0.041787923,0.010219631,0.00132454,0.006864912,0.044817891,0.098774799,0.024157414,0.009084954,0.041146936,-0.000417237,0.03181402,-0.013210863,0.021886455,0.015370456,0.008888507,-0.015501587,0.011542799,-0.012233622,0.044380212,0.015301756,-0.046949928,0.013817323,-0.017364349,0.004365363,0.024686861,0.05991433,0.003302694,-0.004890203,-0.036639947,-0.021884347,0.007539256,0.018849406,0.002361713,0.037823239,0.07510482,0.020669227,0.009935214,-0.005328634,0.001854904,-0.008804403,-0.005125426,-0.004758531,5.77E-07
