label,n,k,pop_size,max_generations,Pc,Pm,best_run,best_fitness,assignment,group_sums
p_problem_size,10,5,100,400,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
p_problem_size,20,8,100,400,0.8,0.2,1,0.14285714285714285,6 5 7 1 3 5 4 7 4 8 | 6 4 2 6 5 2 8 7 1 3,g1: 23; g2: 29; g3: 25; g4: 28; g5: 23; g6: 26; g7: 29; g8: 27
p_problem_size,40,12,100,400,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
p_problem_size,60,17,100,400,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
